,Coordinates,,
No.,X(mm),Y(mm),Z(mm)
,1,2,3
1,1890,32000,215000
2,2894.18,16750.21,215000
3,2894.18,-16750.21,215000
4,1890,-32000,215000
5,-1890,-32000,215000
6,-2894.18,-16750.21,215000
7,-2894.18,16750.21,215000
8,-1890,32000,215000
