Vr(m/s),,,,,,,,,
r/m,h1/m,h2/m,h3/m,h4/m,h5/m,h6/m,h7/m,h8/m,h9/m
0.21750,-1.91791,-1.83366,-1.77425,-1.74136,-1.72268,-1.70971,-1.69770,-1.68538,-1.67260
0.22250,-1.92546,-1.85660,-1.80681,-1.77916,-1.76281,-1.75062,-1.73885,-1.72668,-1.71416
0.22626,-1.93155,-1.87269,-1.82909,-1.80463,-1.78960,-1.77783,-1.76621,-1.75421,-1.74195
0.23001,-1.93928,-1.88988,-1.85199,-1.83038,-1.81649,-1.80508,-1.79365,-1.78187,-1.76992
0.23376,-1.94824,-1.90761,-1.87491,-1.85582,-1.84288,-1.83180,-1.82058,-1.80906,-1.79746
0.23750,-1.95801,-1.92537,-1.89731,-1.88036,-1.86821,-1.85742,-1.84641,-1.83519,-1.82396
0.24250,-1.97306,-1.94985,-1.92706,-1.91242,-1.90111,-1.89068,-1.88005,-1.86930,-1.85862
0.24626,-1.98545,-1.96833,-1.94883,-1.93554,-1.92471,-1.91456,-1.90425,-1.89390,-1.88365
0.25001,-1.99846,-1.98683,-1.97021,-1.95806,-1.94767,-1.93782,-1.92785,-1.91791,-1.90811
0.25376,-2.01201,-2.00528,-1.99114,-1.97996,-1.96996,-1.96042,-1.95083,-1.94132,-1.93195
0.25750,-2.02601,-2.02360,-2.01159,-2.00120,-1.99155,-1.98234,-1.97315,-1.96408,-1.95516
0.26250,-2.04541,-2.04772,-2.03791,-2.02833,-2.01914,-2.01041,-2.00177,-1.99329,-1.98495
0.26626,-2.06030,-2.06544,-2.05686,-2.04775,-2.03889,-2.03055,-2.02235,-2.01431,-2.00639
0.27001,-2.07525,-2.08278,-2.07519,-2.06649,-2.05797,-2.05003,-2.04226,-2.03465,-2.02714
0.27376,-2.09022,-2.09971,-2.09289,-2.08456,-2.07637,-2.06885,-2.06151,-2.05432,-2.04721
