   0.01067      0.88486      0.01067      0.58954      0.01067      0.49333
   0.01673      0.80486      0.01673      0.56523      0.01673      0.47691
   0.02569      0.66353      0.02569      0.52064      0.02569      0.44724
   0.03530      0.49214      0.03530      0.46044      0.03530      0.40702
   0.04548      0.33740      0.04548      0.38956      0.04548      0.35749
   0.05572      0.22977      0.05572      0.31773      0.05572      0.30618
   0.06539      0.15663      0.06539      0.25345      0.06539      0.25944
   0.07516      0.10018      0.07516      0.19418      0.07516      0.21535
   0.08505      0.05517      0.08505      0.14111      0.08505      0.17466
   0.09522      0.01800      0.09522      0.09417      0.09522      0.13708
   0.10546     -0.01196      0.10546      0.05434      0.10546      0.10323
   0.11523     -0.03528      0.11523      0.02221      0.11523      0.07408
   0.12507     -0.05471      0.12507     -0.00529      0.12507      0.04743
   0.13500     -0.07098      0.13500     -0.02879      0.13500      0.02306
   0.14513     -0.08477      0.14513     -0.04892      0.14513      0.00084
   0.15535     -0.09640      0.15535     -0.06594      0.15535     -0.01898
   0.16516     -0.10590      0.16516     -0.07974      0.16516     -0.03563
   0.17503     -0.11416      0.17503     -0.09160      0.17503     -0.05019
   0.18498     -0.12137      0.18498     -0.10179      0.18498     -0.06276
   0.19510     -0.12775      0.19510     -0.11060      0.19510     -0.07349
   0.20529     -0.13334      0.20529     -0.11822      0.20529     -0.08260
   0.21513     -0.13809      0.21513     -0.12455      0.21513     -0.08998
   0.22502     -0.14234      0.22502     -0.13014      0.22502     -0.09639
   0.23497     -0.14616      0.23497     -0.13515      0.23497     -0.10212
   0.24508     -0.14950      0.24508     -0.13944      0.24508     -0.10703
   0.25671     -0.15292      0.25671     -0.14374      0.25671     -0.11198
   0.26578     -0.15535      0.26578     -0.14677      0.26578     -0.11550
   0.27450     -0.15746      0.27450     -0.14940      0.27450     -0.11859
   0.28638     -0.16017      0.28638     -0.15278      0.28638     -0.12259
   0.29403     -0.16173      0.29403     -0.15470      0.29403     -0.12487
   0.30599     -0.16381      0.30599     -0.15716      0.30599     -0.12781
   0.31540     -0.16532      0.31540     -0.15894      0.31540     -0.12995
   0.32419     -0.16660      0.32419     -0.16048      0.32419     -0.13182
   0.33627     -0.16828      0.33627     -0.16249      0.33627     -0.13428
   0.34375     -0.16922      0.34375     -0.16360      0.34375     -0.13565
   0.35593     -0.17056      0.35593     -0.16514      0.35593     -0.13752
   0.36529     -0.17152      0.36529     -0.16623      0.36529     -0.13887
   0.37395     -0.17233      0.37395     -0.16715      0.37395     -0.14001
