
[Name]
fsi

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
3.93670559e-001, -1.84342499e+001, 3.17073154e+001, 2.41810352e+003
4.58143443e-001, -1.82149525e+001, 3.20934944e+001, 2.30468237e+003
2.03151083e+000, 1.87646370e+001, 2.44460175e+002, -1.76108008e+003
2.20386863e+000, 1.85266895e+001, 2.44523880e+002, -2.56362231e+003
2.13785267e+000, 1.91046810e+001, 2.44824295e+002, -2.13203442e+003
2.03755927e+000, 1.80844364e+001, 2.44589233e+002, -1.51862646e+003
2.13895798e+000, 1.85208664e+001, 2.44721603e+002, -2.81279492e+003
-1.84445286e+001, 1.56949434e+001, 3.17052231e+001, -2.90584778e+002
-1.82058392e+001, 1.55838490e+001, 3.20588036e+001, -2.52864334e+002
-1.82446041e+001, 1.60185719e+001, 3.18426285e+001, -1.30441345e+003
2.45670819e+000, 1.25008163e+001, 2.41426895e+002, 5.11624664e+002
2.39034915e+000, 1.31181831e+001, 2.41281067e+002, 8.75229492e+001
2.69979548e+000, 1.30816002e+001, 2.41436127e+002, -1.15784509e+003
-2.36206675e+000, 2.23293190e+001, 2.18795349e+002, -1.06297644e+003
-2.02533674e+000, -1.77358170e+001, 2.47221588e+002, -3.85126038e+002
-2.00583601e+000, -1.75073624e+001, 2.47519241e+002, -8.17079407e+002
-1.95289040e+000, -1.73565845e+001, 2.47245026e+002, -5.74898438e+002
-2.37840319e+000, 3.89488125e+000, 2.23262665e+002, -7.34706299e+002
-2.15438366e+000, 4.04556417e+000, 2.23052231e+002, -9.13214355e+002
-1.83098817e+000, 3.96392107e+000, 2.23210510e+002, -4.86094574e+002
-3.23078752e+000, 7.12664509e+000, 2.22232468e+002, -1.81774487e+003
6.48387051e+000, 7.13605118e+000, 1.51948624e+002, 2.35659717e+003
6.52574205e+000, 6.85870409e+000, 1.52437363e+002, 1.82832153e+003
6.60591936e+000, 6.80621576e+000, 1.51935516e+002, 1.67820300e+003
6.92182779e+000, 6.49390793e+000, 1.52485138e+002, -9.48596069e+002
6.54677057e+000, 6.71838951e+000, 1.53068893e+002, 1.43285498e+003
7.01523018e+000, 6.40406466e+000, 1.53299835e+002, -1.50072522e+003
5.62390041e+000, 6.13839293e+000, 1.65942780e+002, 1.66040808e+003
5.56778288e+000, 6.26451349e+000, 1.66435181e+002, 1.75407983e+003
-2.99932098e+000, 1.17468252e+001, 2.45787109e+002, -5.46320496e+002
-2.88084126e+000, 1.19103622e+001, 2.45596558e+002, 5.13582764e+002
-2.94970655e+000, 1.22326746e+001, 2.45864853e+002, 6.82941589e+002
-2.12751532e+000, -1.59311905e+001, 2.37374939e+002, -1.96369217e+002
1.93333566e+000, -1.82715759e+001, 2.37256149e+002, 1.97139771e+003
1.73735797e+000, -1.83183765e+001, 2.37611725e+002, 1.61783618e+003
2.09956479e+000, -1.85748653e+001, 2.37246765e+002, 3.08002594e+002
2.13867283e+000, -1.80202885e+001, 2.37256226e+002, 2.56036713e+002
1.87189591e+000, -1.78913708e+001, 2.37332794e+002, 2.28762183e+003
1.82459688e+000, -1.74960880e+001, 2.37562500e+002, 1.59549365e+003
-1.29353085e+001, -1.82022591e+001, 3.20366516e+001, 2.23164136e+003
-1.32680378e+001, -1.83070412e+001, 3.22292709e+001, 2.26309912e+003
-1.32537117e+001, -1.82236347e+001, 3.18835888e+001, 2.29083740e+003
-1.27881584e+001, -1.83180904e+001, 3.22384300e+001, 2.22959619e+003
-1.24052172e+001, -1.82224579e+001, 3.21135902e+001, 2.30399146e+003
6.21843719e+000, 5.60615301e+000, 1.65946716e+002, -1.09047156e+003
1.20448279e+000, -1.82134933e+001, 3.19111443e+001, 2.19295679e+003
8.82026076e-001, -1.82159519e+001, 3.20964661e+001, 2.21262964e+003
1.11551118e+000, -1.83251858e+001, 3.22437057e+001, 2.22176367e+003
5.68969190e-001, -1.83352852e+001, 3.22506866e+001, 2.15775024e+003
-1.19561636e+000, 2.45192757e+001, 2.49492584e+002, -1.88923022e+003
-1.35864186e+000, 2.46981869e+001, 2.49546722e+002, -1.42178613e+003
-1.04244971e+000, 2.50283794e+001, 2.49511642e+002, -1.87197083e+003
-1.38583899e+000, 2.41561527e+001, 2.49409058e+002, -1.84144397e+003
-1.50645602e+000, 2.43662033e+001, 2.49326141e+002, -1.87471558e+002
-2.07939744e+000, 5.23886061e+000, 1.84728867e+002, 1.11263184e+002
-2.54060626e+000, 5.45443678e+000, 1.84539001e+002, -5.26398010e+001
