   0.25400      0.00572
   0.51931      0.01015
   0.65040      0.01505
   0.83030      0.01955
   0.93087      0.02550
   0.98267      0.02980
   1.18392      0.03495
   1.25705      0.03922
   1.36063      0.04785
   1.42765      0.05312
   1.55871      0.05970
   1.63781      0.07235
   1.72300      0.08500
   1.82651      0.09728
   1.89342      0.10960
   1.96336      0.12260
   1.98757      0.13498
   2.01786      0.14732
   2.01458      0.16072
   2.06319      0.17272
   2.10546      0.19847
   2.18131      0.22285
   2.20225      0.24762
   2.23232      0.27305
   2.25021      0.29780
   2.26199      0.32290
   2.27681      0.34802
   2.33436      0.37275
