  -0.64142      0.00467
  -1.22703      0.01013
  -1.46796      0.01425
  -1.49531      0.02025
  -1.55319      0.02455
  -1.50429      0.03062
  -1.45846      0.03535
  -1.39431      0.03977
  -1.31181      0.04823
  -1.23852      0.05265
  -1.12857      0.06012
  -1.05819      0.07292
  -0.95428      0.08507
  -0.85036      0.09722
  -0.72507      0.11007
  -0.59061      0.12295
  -0.56295      0.13570
  -0.56580      0.14743
  -0.53508      0.16050
  -0.47082      0.17263
  -0.32702      0.19755
  -0.25948      0.22307
  -0.14314      0.24830
  -0.14882      0.27307
  -0.10568      0.29823
  -0.06865      0.32305
  -0.06519      0.34818
  -0.07695      0.37362
