   0.00000      0.00000
   1.86429      0.01786
   2.77482      0.05278
   3.12636      0.08770
   3.25357      0.12262
   3.29972      0.15754
   3.30372      0.19246
   3.28051      0.22738
   3.24152      0.26230
   3.19603      0.29722
   3.15076      0.33214
   3.10923      0.36786
   3.07526      0.40278
   3.04811      0.43770
   3.02717      0.47262
   3.01163      0.50754
   3.00032      0.54246
   2.99204      0.57738
   2.98564      0.61230
   2.98021      0.64722
   2.97500      0.68214
   2.96921      0.71786
   2.96254      0.75278
   2.95449      0.78770
   2.94483      0.82262
   2.93338      0.85754
   2.92002      0.89246
   2.90466      0.92738
   2.88728      0.96230
   2.86672      0.99901
   2.84745      1.03036
   2.82107      1.06964
   2.79775      1.10179
   2.77004      1.13750
   2.74059      1.17321
   2.71268      1.20536
   2.67687      1.24464
   2.64627      1.27678
   2.61109      1.31250
   2.57479      1.34821
   2.54126      1.38036
   2.49937      1.41964
   2.46442      1.45179
   2.42504      1.48750
   2.38521      1.52321
   2.34904      1.55536
   2.30454      1.59465
   2.26799      1.62678
   2.22730      1.66250
   2.18659      1.69821
   2.14997      1.73036
   2.10529      1.76964
   2.06881      1.80178
   2.02839      1.83750
   1.98806      1.87321
   1.95186      1.90536
   1.90767      1.94464
   1.87156      1.97679
   1.83140      2.01250
   1.79115      2.04821
   1.75479      2.08036
   1.71006      2.11964
   1.67313      2.15178
   1.63166      2.18750
   1.58960      2.22321
   1.55115      2.25536
   1.50319      2.29464
   1.46306      2.32679
   1.41739      2.36250
   1.37051      2.39821
   1.32716      2.43035
   1.27257      2.46964
   1.22656      2.50177
   1.17402      2.53750
   1.12007      2.57322
   1.07041      2.60535
   1.00852      2.64465
   0.95718      2.67678
   0.89985      2.71250
   0.84268      2.74823
   0.79185      2.78035
   0.73127      2.81965
   0.68350      2.85177
   0.63283      2.88750
   0.58496      2.92322
   0.54446      2.95535
   0.49820      2.99465
   0.46273      3.02677
   0.42540      3.06250
   0.38992      3.09822
   0.35945      3.13035
   0.32400      3.16965
   0.29633      3.20180
   0.26677      3.23750
   0.23835      3.27323
   0.21374      3.30537
   0.18451      3.34462
   0.16014      3.37677
   0.12871      3.41250
   0.08286      3.44820
   0.02178      3.48035
