[CoordFrame]
Coordinate Frame 1
Option = Axis Points
Coord Frame Type = Cartesian
Origin Point = -25.882 [m], -96.593 [m], 0 [m]
Axis 3 Point = -25.882 [m], -96.593 [m], 1 [m]
Plane 13 Point = 1 [m], -96.593 [m], 0 [m]
Reference Coord Frame = Coord 0

[Name]
fsi

[Reference CoordFrame]
Coordinate Frame 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
3.50143623e+000, 1.12158966e+000, 2.43332489e+002, 1.37197839e+003
3.94277954e+000, 1.23923492e+000, 2.43270477e+002, -1.68434353e+001
3.49770355e+000, 1.41416931e+000, 2.43338211e+002, 1.20375452e+003
-2.05399513e+000, -2.89893417e+001, 2.14702209e+002, 1.45857031e+003
-1.84696007e+000, -2.87443314e+001, 2.14845734e+002, 8.51271057e+002
-2.22956276e+000, -2.86887741e+001, 2.14725998e+002, 2.19065039e+003
6.40954018e+000, -7.38810730e+000, 1.59979218e+002, -1.04722449e+003
6.00514412e+000, -6.94326782e+000, 1.60103149e+002, 1.85616138e+003
6.23000336e+000, -7.26734924e+000, 1.60482864e+002, -3.91863434e+002
1.67439842e+000, 3.17918854e+001, 2.15628525e+002, -6.07747864e+002
1.98641205e+000, 3.17160873e+001, 2.15289642e+002, -2.56367529e+003
1.63879967e+000, 3.18361053e+001, 2.15147034e+002, -5.33751953e+002
4.00723839e+000, 0.00000000e+000, 2.06571259e+002, -8.50856750e+002
3.65668869e+000, 3.57925415e-001, 2.06508881e+002, 1.10151077e+002
3.37222290e+000, 0.00000000e+000, 2.06672943e+002, 1.95365674e+003
0.00000000e+000, 3.37718964e+000, 2.06667130e+002, 9.43760559e+002
3.84237289e-001, 3.73442841e+000, 2.06500504e+002, 1.37087866e+003
0.00000000e+000, 3.93758392e+000, 2.06536514e+002, 1.29336975e+003
-1.79595375e+000, -6.98368835e+000, 1.59270966e+002, 1.35820117e+003
-1.36915779e+000, -6.90248871e+000, 1.59199066e+002, 1.40304980e+003
-1.47968292e+000, -6.72380066e+000, 1.59156921e+002, 1.71873999e+003
-1.63261223e+000, -7.03991699e+000, 1.59522125e+002, 1.24812231e+003
1.62956238e+000, 3.15010452e+001, 2.15065720e+002, -7.18778198e+002
3.66412544e+000, -4.23599243e-001, 2.06507797e+002, -2.99750000e+002
-3.98633957e-001, 3.69896698e+000, 2.06502747e+002, 1.26089844e+003
1.47981424e+001, 1.06685867e+001, 6.17040520e+001, 3.66103363e+002
1.44552984e+001, 1.01504211e+001, 6.20560951e+001, 2.04590710e+003
1.47652264e+001, 1.00331421e+001, 6.17004890e+001, -1.60886440e+001
7.01340866e+000, -1.64601135e+000, 1.59594559e+002, -1.02249615e+003
7.03906822e+000, -1.21248627e+000, 1.59385773e+002, -1.22562317e+003
6.88275146e+000, -1.50073242e+000, 1.59188293e+002, 1.13006813e+002
3.67499161e+000, 2.10895538e+000, 2.23290298e+002, -2.44179150e+003
3.50316429e+000, 2.43708801e+000, 2.23170197e+002, -3.96382568e+002
3.77927399e+000, 2.80288696e+000, 2.23298569e+002, -2.28580518e+003
3.86008453e+000, 1.73761749e+000, 2.23279099e+002, -2.00135632e+003
3.49117279e+000, 1.79251099e+000, 2.23151184e+002, -5.14266418e+002
1.26366100e+001, 1.49539948e+001, 6.17800407e+001, 1.80515771e+003
1.24176521e+001, 1.44953461e+001, 6.18414726e+001, 1.65135278e+003
1.28069172e+001, 1.46025543e+001, 6.17388573e+001, 1.80877344e+003
-2.26132965e+000, -3.49415588e+000, 2.43343674e+002, 3.35117615e+002
-2.69402695e+000, -3.58028412e+000, 2.43252853e+002, 4.58072754e+002
-2.48407936e+000, -3.84889984e+000, 2.43216812e+002, 7.44237305e+002
3.21902466e+000, -9.30604553e+000, 2.41811310e+002, -7.17821228e+002
2.98247719e+000, -9.58466339e+000, 2.41717468e+002, 5.86159851e+002
3.27268600e+000, -1.00137100e+001, 2.41763809e+002, -1.12571008e+003
5.98974228e+000, -1.44520950e+001, 6.20348434e+001, 2.11494873e+003
6.44511032e+000, -1.45566483e+001, 6.17711258e+001, 2.26747021e+003
6.44445038e+000, -1.45464554e+001, 6.22203789e+001, 2.06968213e+003
-3.01020813e+000, -3.75020599e+000, 2.43200012e+002, 5.84837524e+002
-2.32828522e+000, -1.41323090e+001, 2.42573090e+002, -4.17890564e+002
-2.28137589e+000, -1.48229446e+001, 2.42798599e+002, -1.98254440e+002
-2.52405357e+000, -1.44033279e+001, 2.42948746e+002, 9.33053284e+002
