[CoordFrame]
Coordinate Frame 1
Option = Axis Points
Coord Frame Type = Cartesian
Origin Point = -70.71 [m], -70.71 [m], 0 [m]
Axis 3 Point = -70.71 [m], -70.71 [m], 1 [m]
Plane 13 Point = 0 [m], -70.71 [m], 0 [m]
Reference Coord Frame = Coord 0

[Name]
fsi

[Reference CoordFrame]
Coordinate Frame 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-2.41590881e+000, 1.75024910e+001, 2.40102570e+002, 6.68546692e+002
-2.31634521e+000, 1.84435501e+001, 2.39760269e+002, 1.08113123e+003
-2.28765869e+000, 1.83099403e+001, 2.39972122e+002, -2.75183620e+001
-2.59059143e+000, 1.28424263e+001, 2.46233902e+002, -6.34242676e+002
-2.88471985e+000, 1.27555656e+001, 2.45976563e+002, 3.92624420e+002
-2.79643250e+000, 1.30348587e+001, 2.46238678e+002, -8.40073853e+002
-2.43725586e+000, 1.63428154e+001, 2.40559570e+002, 1.79871643e+002
-2.64997864e+000, 1.55846748e+001, 2.40449966e+002, 1.32011255e+003
-6.53237915e+000, 7.78869629e-001, 1.59664978e+002, 2.93975494e+002
-6.48970795e+000, 1.26403046e+000, 1.59302536e+002, 2.52926025e+002
-6.47453308e+000, 7.73849487e-001, 1.59331406e+002, 1.16868935e+002
-2.20748901e+000, 1.70920410e+001, 2.40419952e+002, -3.59366089e+002
-3.08155823e+000, 1.06015358e+001, 2.40881577e+002, 1.73454419e+003
-2.90986633e+000, 1.11204720e+001, 2.41058044e+002, 3.74205963e+002
-3.11553955e+000, 1.08043137e+001, 2.41161392e+002, 4.96029205e+002
-3.65490723e+000, 6.25209808e+000, 2.44172394e+002, 6.15728821e+002
-3.59223938e+000, 5.74289703e+000, 2.44246414e+002, -9.14896240e+002
-3.71076965e+000, 5.78711700e+000, 2.44072815e+002, 1.09877576e+003
-3.67555237e+000, 6.82397461e+000, 2.42818741e+002, 1.21783276e+003
5.07731628e+000, 8.62636948e+000, 1.29611160e+002, 7.43944031e+002
5.73229980e+000, 8.32408524e+000, 1.29820007e+002, 8.73163605e+001
5.56825256e+000, 8.72011566e+000, 1.29631653e+002, 8.68748901e+002
-3.74458313e+000, 4.76412964e+000, 2.22485291e+002, 9.53351257e+002
-3.76428986e+000, 5.25457001e+000, 2.22397995e+002, 1.31022229e+003
-3.93785858e+000, 4.95774841e+000, 2.22606644e+002, 2.28832959e+003
2.22023773e+000, 2.97379951e+001, 2.15239258e+002, -1.55722382e+002
1.88766479e+000, 3.05130310e+001, 2.15282684e+002, -4.74630920e+002
-2.50650787e+000, 8.31834412e+000, 1.29841003e+002, 1.56855026e+002
-2.12924194e+000, 8.39828110e+000, 1.30123001e+002, 2.27678513e+002
-2.00277710e+000, 8.31164169e+000, 1.29880936e+002, 3.08036530e+002
2.25215149e+000, 2.65002060e+001, 2.15300003e+002, -4.90346802e+002
1.95719147e+000, 2.64807854e+001, 2.15050812e+002, 3.39443268e+002
3.13953400e+000, 8.62730026e+000, 2.14919479e+002, 1.64289136e+003
3.16555786e+000, 8.11815643e+000, 2.15044464e+002, 1.59720386e+003
3.26940918e+000, 8.30572510e+000, 2.14760773e+002, 1.56989893e+003
2.15773773e+000, -2.53056870e+001, 2.14755142e+002, 1.96728223e+003
2.11014557e+000, -2.54103088e+001, 2.15210831e+002, 8.55940308e+002
2.00364685e+000, -2.58620377e+001, 2.15076248e+002, 1.32854260e+003
-6.74063110e+000, -2.15492249e+000, 1.59755646e+002, 3.60969482e+002
-6.58646393e+000, -2.09604645e+000, 1.59203018e+002, 7.33664551e+002
-6.44916534e+000, -2.73530579e+000, 1.59425339e+002, 4.60305878e+002
-6.45248413e+000, -1.63178253e+000, 1.59510345e+002, 7.63977509e+001
-6.71945190e+000, -1.26613617e+000, 1.59754440e+002, 1.01024182e+003
2.54707336e+000, -2.40032196e+001, 2.15269943e+002, -1.77028809e+002
2.71820068e+000, -2.39483337e+001, 2.15037262e+002, 1.80635727e+002
2.66161346e+000, -2.46000519e+001, 2.15096359e+002, -1.76736893e+002
-1.98145294e+000, -1.83902435e+001, 2.37832581e+002, 4.99057465e+002
-1.78736115e+000, -1.79527283e+001, 2.37645859e+002, 3.19927979e+002
-1.80106354e+000, -1.83190002e+001, 2.37340759e+002, 5.60456665e+002
2.71665192e+000, -1.89894409e+001, 2.15298370e+002, -5.61211109e+000
2.79955292e+000, -1.94701004e+001, 2.15287811e+002, -3.12811375e+001
2.56639862e+000, -1.92961578e+001, 2.15253677e+002, 2.95237789e+001
1.82354736e+000, 3.17075500e+001, 2.15645981e+002, -1.17567163e+003
1.61740112e+000, 3.21244926e+001, 2.15973022e+002, 7.76724854e+002
1.63812256e+000, 3.18376045e+001, 2.16251572e+002, -4.96365631e+002
1.98854065e+000, 3.22832108e+001, 2.16202820e+002, 5.06172066e+001
1.96544647e+000, 3.22902794e+001, 2.15563416e+002, 3.26453217e+002
1.65100861e+000, 2.25368500e+001, 2.48918243e+002, -5.99443054e+002
1.47164917e+000, 2.24052887e+001, 2.48913544e+002, -8.93634888e+002
1.48690033e+000, 2.26207123e+001, 2.48984497e+002, -7.19554810e+002
1.58199310e+000, 2.29549637e+001, 2.49049179e+002, -8.14105042e+002
1.69290924e+000, 2.27674980e+001, 2.48741791e+002, -5.41727844e+002
-2.29179382e+000, 1.79777222e+001, 2.39683365e+002, 1.47876990e+003
-2.05599213e+000, 2.88539314e+001, 2.14703156e+002, 1.86970337e+002
-2.00926208e+000, 2.92460327e+001, 2.14706558e+002, 4.05840988e+001
-2.31259155e+000, 2.92660065e+001, 2.14822769e+002, 1.50698413e+003
-2.25273132e+000, 2.96191254e+001, 2.14781525e+002, 1.20440637e+003
-2.20460510e+000, 1.79948997e+001, 2.40162003e+002, 2.22358761e+001
-1.88181305e+000, 1.82364120e+001, 2.40080322e+002, 1.35172821e+002
-2.06527710e+000, 1.75625687e+001, 2.40294891e+002, -1.91890259e+002
-2.63681030e+000, 1.30094261e+001, 2.45884537e+002, 9.71472900e+002
-2.68267059e+000, 1.35614548e+001, 2.46056946e+002, 1.48862744e+003
-2.81259918e+000, 1.32382851e+001, 2.46062057e+002, 1.29365356e+003
-3.29971313e+000, 9.13999939e+000, 2.40302979e+002, 1.38484656e+003
-3.24881744e+000, 9.36365891e+000, 2.40616791e+002, 4.30103729e+002
-2.96738434e+000, 9.54552078e+000, 2.40771454e+002, -4.03830627e+002
-3.23591614e+000, 9.68127441e+000, 2.40543900e+002, 1.20245300e+003
-3.13066101e+000, 1.01719742e+001, 2.41004944e+002, 7.00011169e+002
-2.88123322e+000, 1.01778221e+001, 2.41045364e+002, -7.16480652e+002
-6.47938538e+000, 0.00000000e+000, 1.59321365e+002, -2.20800934e+002
-2.32156372e+000, 1.42723579e+001, 2.42602646e+002, 7.02282227e+002
2.76795197e+000, 1.07233963e+001, 2.45328491e+002, 1.27902222e+003
2.86558533e+000, 1.11905975e+001, 2.45374313e+002, 5.85478760e+002
2.68252563e+000, 1.11132317e+001, 2.45529678e+002, 5.42885071e+002
1.66495514e+000, 2.13868828e+001, 2.45620178e+002, 6.25749939e+002
1.59539032e+000, 2.06804047e+001, 2.45671722e+002, -2.86450100e+001
1.70220184e+000, 2.08800621e+001, 2.45397827e+002, 1.25630017e+003
