      ,        0,          1
     1,     2.802797,     2.802797
     2,     3.606620,     3.606620
     3,     2.681620,     2.681620
     4,     2.681613,     2.681613
     5,     2.681613,     2.681613
     6,     2.681620,     2.681620
     7,     2.681620,     2.681620
     8,     2.681613,     2.681613
     9,     2.681613,     2.681613
    10,     2.681620,     2.681620
    11,     2.802797,     2.802797
    12,     3.606620,     3.606620
    13,     2.681620,     2.681620
    14,     2.681613,     2.681613
    15,     2.681613,     2.681613
    16,     2.681620,     2.681620
    17,     2.681620,     2.681620
    18,     2.681613,     2.681613
    19,     2.681613,     2.681613
    20,     2.681620,     2.681620
    21,     2.802797,     2.802797
    22,     3.606620,     3.606620
    23,     2.681620,     2.681620
    24,     2.681613,     2.681613
    25,     2.681613,     2.681613
    26,     2.681620,     2.681620
    27,     2.681620,     2.681620
    28,     2.681613,     2.681613
    29,     2.681613,     2.681613
    30,     2.681620,     2.681620
    31,     2.802797,     2.802797
    32,     3.606620,     3.606620
    33,     2.681620,     2.681620
    34,     2.681613,     2.681613
    35,     2.681613,     2.681613
    36,     2.681620,     2.681620
    37,     2.681620,     2.681620
    38,     2.681613,     2.681613
    39,     2.681613,     2.681613
    40,     2.681620,     2.681620
    41,     7.457134,     7.457134
    42,     2.537902,     4.438450
    43,     0.000000,     1.585713
    44,     0.000000,     1.585713
    45,     0.000000,     1.585716
    46,     0.000000,     1.585716
    47,     0.000000,     1.585713
    48,     0.000000,     1.585713
    49,     7.457134,     7.457134
    50,     4.438450,     2.537902
    51,     1.585713,     0.000000
    52,     1.585713,     0.000000
    53,     1.585716,     0.000000
    54,     1.585716,     0.000000
    55,     1.585713,     0.000000
    56,     1.585713,     0.000000
    57,     7.457134,     7.457134
    58,     2.537902,     4.438450
    59,     0.000000,     1.585713
    60,     0.000000,     1.585713
    61,     0.000000,     1.585716
    62,     0.000000,     1.585716
    63,     0.000000,     1.585713
    64,     0.000000,     1.585713
    65,     7.457134,     7.457134
    66,     4.438450,     2.537902
    67,     1.585713,     0.000000
    68,     1.585713,     0.000000
    69,     1.585716,     0.000000
    70,     1.585716,     0.000000
    71,     1.585713,     0.000000
    72,     1.585713,     0.000000
    73,     3.546294,     4.669522
    74,     1.304570,     1.619402
    75,     1.304570,     1.619402
    76,     1.304570,     1.619402
    77,     1.304570,     1.619402
    78,     3.546294,     4.669522
    79,     1.304570,     1.619402
    80,     1.304570,     1.619402
    81,     1.304570,     1.619402
    82,     1.304570,     1.619402
    83,     4.669522,     3.546294
    84,     1.619402,     1.304570
    85,     1.619402,     1.304570
    86,     1.619402,     1.304570
    87,     1.619402,     1.304570
    88,     4.669522,     3.546294
    89,     1.619402,     1.304570
    90,     1.619402,     1.304570
    91,     1.619402,     1.304570
    92,     1.619402,     1.304570
    93,     3.546294,     4.669522
    94,     1.304570,     1.619402
    95,     1.304570,     1.619402
    96,     1.304570,     1.619402
    97,     1.304570,     1.619402
    98,     3.546294,     4.669522
    99,     1.304570,     1.619402
   100,     1.304570,     1.619402
   101,     1.304570,     1.619402
   102,     1.304570,     1.619402
