  -0.00832      0.00430
  -0.01149      0.01035
  -0.03606      0.02007
  -0.00570      0.02975
   0.00023      0.04012
   0.02748      0.05182
   0.03018      0.07260
   0.06046      0.08495
   0.07248      0.09732
   0.10276      0.11035
   0.10559      0.12242
   0.13285      0.13512
   0.13568      0.14817
   0.17818      0.16020
   0.18101      0.17257
   0.21720      0.19800
   0.22288      0.22310
   0.25907      0.24685
   0.27085      0.27262
   0.26737      0.29807
   0.31270      0.32282
   0.31227      0.34792
   0.32406      0.37270
