[CoordFrame]
Coordinate Frame 1
Option = Axis Points
Coord Frame Type = Cartesian
Origin Point = -86.603 [m], -50 [m], 0 [m]
Axis 3 Point = -86.603 [m], -50 [m], 1 [m]
Plane 13 Point = -86 [m], -50 [m], 1 [m]
Reference Coord Frame = Coord 0

[Name]
fsi

[Reference CoordFrame]
Coordinate Frame 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-2.99765015e+000, -1.41318893e+001, 2.20495911e+002, 6.06382813e+002
-2.84146118e+000, -1.46243744e+001, 2.20452347e+002, -3.63016785e+002
1.12480164e+000, 5.35645294e+000, 1.84199600e+002, 1.85049548e+003
1.57228851e+000, 5.01019669e+000, 1.84184570e+002, 1.98562820e+002
1.56951904e+000, 5.39710236e+000, 1.84237457e+002, 1.89088513e+003
2.81129456e+000, 2.25278549e+001, 2.15040497e+002, -6.41509094e+001
2.31797028e+000, 2.30310555e+001, 2.15252213e+002, -2.35143387e+002
2.65441132e+000, 2.29516602e+001, 2.15248138e+002, -1.37263672e+002
5.75392914e+000, 8.90532684e+000, 1.29858063e+002, 2.24500928e+003
5.96375275e+000, 8.66487503e+000, 1.29615829e+002, 8.76956848e+002
6.13643646e+000, 8.89710236e+000, 1.29823776e+002, 2.38312646e+003
6.07872772e+000, 8.87631607e+000, 1.30048660e+002, 1.01193311e+003
5.37705994e+000, 8.71269608e+000, 1.30192337e+002, 8.27643616e+002
-1.57650757e+000, -2.09379349e+001, 2.45493484e+002, 3.60237457e+002
-1.80456543e+000, -2.00489578e+001, 2.45462509e+002, 8.50854004e+002
-3.72125244e+000, -4.95396423e+000, 1.84231155e+002, 1.19133960e+003
-3.28137970e+000, -4.87366486e+000, 1.84459839e+002, 1.21512048e+003
-3.72836304e+000, -4.97096252e+000, 1.84658463e+002, -3.02423157e+002
5.29301453e+000, 1.08312645e+001, 9.22476196e+001, 2.27779694e+002
-3.17867279e+000, 7.89245987e+000, 2.22084305e+002, 4.69543610e+002
-3.67534637e+000, 7.64157104e+000, 2.22420181e+002, 5.70773743e+002
-3.32364655e+000, 8.63163376e+000, 2.40307663e+002, 5.55132385e+002
-3.04795837e+000, 8.73318481e+000, 2.40040451e+002, 6.27307739e+002
-3.31871033e+000, 8.91461182e+000, 2.40185394e+002, 1.75720471e+003
2.96433258e+000, 8.70784378e+000, 2.44873886e+002, -5.67253113e+001
3.04479218e+000, 8.87033081e+000, 2.45115250e+002, -1.30911963e+003
2.59027863e+000, -1.55844727e+001, 2.37440247e+002, -1.36842255e+002
1.16891022e+001, 1.87860355e+001, 3.20903435e+001, 2.11516992e+003
1.21455688e+001, 1.87975998e+001, 3.19622326e+001, 2.27916846e+003
1.19341965e+001, 1.86929398e+001, 3.22292175e+001, 5.77855652e+002
2.46951294e+000, -1.68856049e+001, 2.37451370e+002, -7.72352173e+002
1.90087891e+000, -1.69881897e+001, 2.37674820e+002, 7.17351563e+002
2.43379211e+000, -1.66198273e+001, 2.37813370e+002, -8.03061035e+002
-1.57331467e+001, -1.85183716e+001, 3.22994347e+001, 1.25628406e+003
-1.56812286e+001, -1.83089523e+001, 3.22310829e+001, 2.11165356e+003
-1.53076172e+001, -1.83542175e+001, 3.22619705e+001, 1.97278040e+003
-3.76603699e+000, -1.50497360e+001, 6.19915886e+001, 1.80129089e+003
-3.21650696e+000, -1.50499878e+001, 6.19994202e+001, 1.79414624e+003
-3.60768127e+000, -1.49456711e+001, 6.17730598e+001, 1.81867737e+003
2.62274170e+000, 1.79472809e+001, 2.14769897e+002, 9.75895691e+002
2.52556610e+000, 1.80488987e+001, 2.14899979e+002, 1.00474286e+003
2.60833740e+000, 1.77852135e+001, 2.15206497e+002, 3.19671021e+002
2.50532532e+000, 1.81157799e+001, 2.15030655e+002, 7.03826660e+002
2.49117279e+000, 1.83541737e+001, 2.14958145e+002, 1.06366040e+003
-2.94597626e+000, -1.36558418e+001, 2.20629868e+002, 2.17847855e+002
-3.22021484e+000, -1.30733452e+001, 2.20726761e+002, 1.46607178e+003
-3.36784363e+000, -1.35754776e+001, 2.20771408e+002, 1.67919995e+003
-2.91700745e+000, -2.07022171e+001, 2.19301254e+002, 1.88777136e+003
-2.87298584e+000, -2.08263016e+001, 2.19550507e+002, -7.18960724e+001
-2.87368011e+000, -2.11829224e+001, 2.19170151e+002, 1.91508887e+003
-2.99087524e+000, -1.80856323e+001, 2.20199432e+002, 2.96381073e+002
