 TIME,UX,UY
 90.60,          9.858,         26.775
 90.70,          9.748,         26.645
 90.80,          9.642,         26.521
 90.90,          9.535,         26.392
 91.00,          9.432,         26.269
 91.10,          9.330,         26.145
 91.20,          9.229,         26.021
 91.30,          9.130,         25.897
 91.40,          9.031,         25.771
 91.50,          8.936,         25.655
 91.60,          8.840,         25.532
 91.70,          8.747,         25.413
 91.80,          8.655,         25.294
 91.90,          8.563,         25.175
 92.00,          8.476,         25.064
 92.10,          8.387,         24.944
 92.20,          8.301,         24.833
 92.30,          8.217,         24.721
 92.40,          8.133,         24.609
 92.50,          8.050,         24.496
 92.60,          7.968,         24.383
 92.70,          7.886,         24.269
 92.80,          7.809,         24.165
 92.90,          7.729,         24.051
 93.00,          7.653,         23.946
 93.10,          7.577,         23.840
 93.20,          7.503,         23.734
 93.30,          7.429,         23.628
 93.40,          7.357,         23.526
 93.50,          7.284,         23.419
 93.60,          7.215,         23.320
 93.70,          7.143,         23.212
 93.80,          7.075,         23.113
 93.90,          7.008,         23.013
 94.00,          6.941,         22.913
 94.10,          6.875,         22.813
 94.20,          6.810,         22.713
 94.30,          6.747,         22.622
 94.40,          6.683,         22.521
 94.50,          6.621,         22.425
 94.60,          6.559,         22.328
 94.70,          6.499,         22.236
 94.80,          6.440,         22.144
 94.90,          6.381,         22.052
 95.00,          6.322,         21.959
 95.10,          6.265,         21.866
 95.20,          6.207,         21.773
 95.30,          6.153,         21.688
 95.40,          6.097,         21.594
 95.50,          6.043,         21.509
 95.60,          5.988,         21.414
 95.70,          5.935,         21.328
 95.80,          5.883,         21.243
 95.90,          5.832,         21.157
 96.00,          5.781,         21.071
 96.10,          5.730,         20.985
 96.20,          5.680,         20.899
 96.30,          5.630,         20.812
 96.40,          5.583,         20.735
 96.50,          5.534,         20.648
 96.60,          5.488,         20.571
 96.70,          5.440,         20.484
 96.80,          5.394,         20.406
 96.90,          5.349,         20.326
 97.00,          5.304,         20.248
 97.10,          5.258,         20.163
 97.20,          5.215,         20.084
 97.30,          5.172,         20.011
 97.40,          5.129,         19.932
 97.50,          5.086,         19.853
 97.60,          5.045,         19.780
 97.70,          5.004,         19.703
 97.80,          4.962,         19.624
 97.90,          4.923,         19.553
 98.00,          4.881,         19.474
 98.10,          4.843,         19.403
 98.20,          4.805,         19.333
 98.30,          4.765,         19.253
 98.40,          4.727,         19.182
 98.50,          4.689,         19.111
 98.60,          4.652,         19.040
 98.70,          4.616,         18.969
 98.80,          4.579,         18.898
 98.90,          4.543,         18.827
 99.00,          4.509,         18.765
 99.10,          4.474,         18.693
 99.20,          4.438,         18.622
 99.30,          4.406,         18.560
 99.40,          4.371,         18.488
 99.50,          4.337,         18.419
 99.60,          4.304,         18.354
 99.70,          4.272,         18.292
 99.80,          4.238,         18.221
 99.90,          4.207,         18.157
100.00,          4.176,         18.095
